company,outreach_wave,wave_name,classification_category,manual_review,send_policy,wave_reason
Learning A-Z,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Legal & General,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
LegalOn,Wave 3,"Support, procurement, and incident-response buyers",Support / procurement / incident-response buyer,no,not_allowed_until_verified,"Good vertical-pack fit with workflow handoff, false-completion, escalation, and recovery-path review."
Leidos,Wave 6,Reserve pool,Reserve pool with manual-review flag,yes,manual_individual_review_only,Sensitive or strategic company. Do not include in batch send.
Lemonade,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Lever,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Lexia Learning,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
LexisNexis,Wave 4,"Category validators, partners, and adjacent evaluators",Validator / partner / category reader,no,not_allowed_until_verified,"Adjacent evaluator, consultant, governance, security, or AI assurance category reader."
Liberty Mutual,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
Lightspeed Systems,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
Lincoln Financial Group,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
Linear,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Linewize,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Lingoda,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Lingokids,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
LinkedIn Learning,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
LinkedIn Talent Solutions,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
LivePerson,Wave 3,"Support, procurement, and incident-response buyers",Support / procurement / incident-response buyer,no,not_allowed_until_verified,"Good vertical-pack fit with workflow handoff, false-completion, escalation, and recovery-path review."
LlamaIndex,Wave 1,Precision pilot seekers,Precision pilot seeker,no,not_allowed_until_verified,"Highest-fit near-term pilot target: agentic workflow, devtool, finance/reconciliation, or support automation pain."
Lloyd’s of London,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
LogicMonitor,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Logz.io,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Lowe’s,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
Lucid Motors,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
Lusha,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
MACIF,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
MAIF,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
MAP Growth,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
MIND Education,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
MS&AD Insurance Group,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
MSIG,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Maersk,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
Magic,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Majesco,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Make,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Mandiant,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Manulife,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
ManyPets,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Mapfre,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Mark43,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Markel,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Marketo,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Marqeta,Wave 2,Finance and devtools expansion,Finance / reconciliation or devtools expansion,no,not_allowed_until_verified,"Strong buyer fit, likely operational pain, but should follow Wave 1 learning."
Marsh McLennan,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
MassMutual,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
MasterClass,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Mathspace,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Maven AGI,Wave 3,"Support, procurement, and incident-response buyers",Support / procurement / incident-response buyer,no,not_allowed_until_verified,"Good vertical-pack fit with workflow handoff, false-completion, escalation, and recovery-path review."
Max Life Insurance,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
Mayo Clinic,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
McGraw Hill,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Medallia,Wave 3,"Support, procurement, and incident-response buyers",Support / procurement / incident-response buyer,no,not_allowed_until_verified,"Good vertical-pack fit with workflow handoff, false-completion, escalation, and recovery-path review."
Medibank,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
Medius,Wave 3,"Support, procurement, and incident-response buyers",Support / procurement / incident-response buyer,no,not_allowed_until_verified,"Good vertical-pack fit with workflow handoff, false-completion, escalation, and recovery-path review."
Medtronic,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Meiji Yasuda Life,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
Memrise,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Mercury,Wave 2,Finance and devtools expansion,Finance / reconciliation or devtools expansion,no,not_allowed_until_verified,"Strong buyer fit, likely operational pain, but should follow Wave 1 learning."
Mesh Payments,Wave 2,Finance and devtools expansion,Finance / reconciliation or devtools expansion,no,not_allowed_until_verified,"Strong buyer fit, likely operational pain, but should follow Wave 1 learning."
MetLife,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
Meta,Wave 6,Reserve pool,Reserve pool with manual-review flag,yes,manual_individual_review_only,Sensitive or strategic company. Do not include in batch send.
Mezmo,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Micron,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
Microsoft,Wave 6,Reserve pool,Reserve pool with manual-review flag,yes,manual_individual_review_only,Sensitive or strategic company. Do not include in batch send.
Microsoft Azure,Wave 6,Reserve pool,Reserve pool with manual-review flag,yes,manual_individual_review_only,Sensitive or strategic company. Do not include in batch send.
Microsoft Dynamics 365,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Microsoft Education,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Microsoft Nuance,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Midjourney,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Milvus,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Mindtickle,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
MineralTree,Wave 2,Finance and devtools expansion,Finance / reconciliation or devtools expansion,no,not_allowed_until_verified,"Strong buyer fit, likely operational pain, but should follow Wave 1 learning."
MiniMax,Wave 6,Reserve pool,Reserve pool with manual-review flag,yes,manual_individual_review_only,Sensitive or strategic company. Do not include in batch send.
Mistral AI,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Mitsubishi Electric,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
Modal Labs,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Modern Treasury,Wave 1,Precision pilot seekers,Precision pilot seeker,no,not_allowed_until_verified,"Highest-fit near-term pilot target: agentic workflow, devtool, finance/reconciliation, or support automation pain."
Molina Healthcare,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
Monday.com,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Moodle,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Moody’s RMS,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Moogsoft,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Moonshot AI,Wave 6,Reserve pool,Reserve pool with manual-review flag,yes,manual_individual_review_only,Sensitive or strategic company. Do not include in batch send.
Motional,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Motorola Solutions,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
Multiverse,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Munich Re,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Mutua Madrileña,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
NEC,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
NEOGOV,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
NICE,Wave 3,"Support, procurement, and incident-response buyers",Support / procurement / incident-response buyer,no,not_allowed_until_verified,"Good vertical-pack fit with workflow handoff, false-completion, escalation, and recovery-path review."
NICE CXone,Wave 3,"Support, procurement, and incident-response buyers",Support / procurement / incident-response buyer,no,not_allowed_until_verified,"Good vertical-pack fit with workflow handoff, false-completion, escalation, and recovery-path review."
NN Group,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
NTT Data,Wave 4,"Category validators, partners, and adjacent evaluators",Validator / partner / category reader,no,not_allowed_until_verified,"Adjacent evaluator, consultant, governance, security, or AI assurance category reader."
NVIDIA,Wave 6,Reserve pool,Reserve pool with manual-review flag,yes,manual_individual_review_only,Sensitive or strategic company. Do not include in batch send.
NWEA,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Nabla,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Namely,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Nationwide,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
Navan,Wave 2,Finance and devtools expansion,Finance / reconciliation or devtools expansion,no,not_allowed_until_verified,"Strong buyer fit, likely operational pain, but should follow Wave 1 learning."
Naver,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Naviance,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Nearpeer,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Nearpod,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Nebius,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Netsuite,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
New China Life Insurance,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
New Relic,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
New York Life,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
Newsela,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Next Insurance,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
Nimble,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Nippon Life,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
NoRedInk,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Nokia,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
Northwestern Mutual,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
Notion,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Nubank,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
Numerade,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Nuro,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Nutshell,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
Observe.AI,Wave 3,"Support, procurement, and incident-response buyers",Support / procurement / incident-response buyer,no,not_allowed_until_verified,"Good vertical-pack fit with workflow handoff, false-completion, escalation, and recovery-path review."
Okta,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
OnBase,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
OneTrust,Wave 4,"Category validators, partners, and adjacent evaluators",Validator / partner / category reader,no,not_allowed_until_verified,"Adjacent evaluator, consultant, governance, security, or AI assurance category reader."
OpenAI,Wave 6,Reserve pool,Reserve pool with manual-review flag,yes,manual_individual_review_only,Sensitive or strategic company. Do not include in batch send.
OpenCities,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
OpenCounter,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
OpenGov,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
OpenStax,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
OpsRamp,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Optum,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
Oracle,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Oracle CX,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Oracle Eloqua,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Oracle HCM,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Oracle Health,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
Oracle NetSuite,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Oracle Procurement Cloud,Wave 3,"Support, procurement, and incident-response buyers",Support / procurement / incident-response buyer,no,not_allowed_until_verified,"Good vertical-pack fit with workflow handoff, false-completion, escalation, and recovery-path review."
Orange,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Oscar Health,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
Outreach,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Outschool,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Outschool for Schools,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
OverDrive Education,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Oversight,Wave 2,Finance and devtools expansion,Finance / reconciliation or devtools expansion,no,not_allowed_until_verified,"Strong buyer fit, likely operational pain, but should follow Wave 1 learning."
Owkin,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Oyster,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
PICC,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Pacific Life,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
Packback,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
PagerDuty,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Palantir,Wave 6,Reserve pool,Reserve pool with manual-review flag,yes,manual_individual_review_only,Sensitive or strategic company. Do not include in batch send.
Palo Alto Networks,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Panorama Education,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Papaya Global,Wave 2,Finance and devtools expansion,Finance / reconciliation or devtools expansion,no,not_allowed_until_verified,"Strong buyer fit, likely operational pain, but should follow Wave 1 learning."
Paper,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Paradox,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
ParentSquare,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
PathAI,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Patronus AI,Wave 4,"Category validators, partners, and adjacent evaluators",Validator / partner / category reader,no,not_allowed_until_verified,"Adjacent evaluator, consultant, governance, security, or AI assurance category reader."
PayPal,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Paycom,Wave 2,Finance and devtools expansion,Finance / reconciliation or devtools expansion,no,not_allowed_until_verified,"Strong buyer fit, likely operational pain, but should follow Wave 1 learning."
Paycor,Wave 2,Finance and devtools expansion,Finance / reconciliation or devtools expansion,no,not_allowed_until_verified,"Strong buyer fit, likely operational pain, but should follow Wave 1 learning."
Payhawk,Wave 2,Finance and devtools expansion,Finance / reconciliation or devtools expansion,no,not_allowed_until_verified,"Strong buyer fit, likely operational pain, but should follow Wave 1 learning."
Paylocity,Wave 2,Finance and devtools expansion,Finance / reconciliation or devtools expansion,no,not_allowed_until_verified,"Strong buyer fit, likely operational pain, but should follow Wave 1 learning."
Pear Assessment,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Pear Deck,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Pearson,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Pearson Online Academy,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Pegasystems,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
Pendo,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
People.ai,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
People’s Insurance Company of China,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
Perplexity AI,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Personio,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Pfizer,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Phenom,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Philips,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Photomath,Wave 6,Reserve pool,Reserve pool,no,hold_until_better_evidence_or_specific_signal,"Valid company target, but not the strongest first-wave fit."
Physical Intelligence,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
Pie Insurance,Wave 5,"Regulated, critical, and long-cycle sectors","Regulated, critical, infrastructure, or long-cycle sector",no,slow_verified_only,"Large budget but slower procurement, higher compliance load, or sensitive operational context."
